id,Q1,Q2,Q3,Q4,Q5,Q6
abs15812,1,"4,7",1,"18,21,26",0,0
abs14418,1,"6,7",2,0,1,1
abs15218,1,"1,2,6,7",2,"15,22,27,34",0,0
abs01803,0,0,2,0,0,0
abs17743,0,6,2,0,0,0
abs11568,0,6,2,0,0,0
abs10906,0,"6,7",2,0,0,0
abs20878,1,"3,7",2,0,1,1
abs09939,1,"2,3,6",2,0,1,1
abs16427,1,"1,2,6",2,"12,14,15,17,22,26,27,28,30",0,0
abs18100,1,7,2,0,1,1
abs15084,1,"5,6",2,0,0,0
abs03717,1,"6,7",2,0,1,1
abs10530,1,"6,7",2,"13,14,22,33",1,1
abs10403,1,"1,2,3",2,"3,13,22,27",1,1
abs22126,0,5,2,3,1,1
abs12525,1,"4,5,6,7",1,0,0,0
abs09377,0,6,2,0,0,0
abs17300,0,2,2,0,1,1
abs00446,0,"0,6,7",2,0,1,1
abs17841,1,"4,7",2,0,0,0
abs18976,0,"6,7",2,0,0,0
abs21670,1,"4,5,6",1,0,0,0
abs09462,1,"4,6",2,"13,14,18,20,26,27",1,1
abs00071,1,7,2,"13,14,15,16,22,26,27",1,1
abs02067,0,"3,4,6",1,"13,15,16,18,20,21,22,26,27,28,33,34",0,0
abs14988,0,"0,6",2,0,0,0
abs07698,0,5,0,0,0,0
abs05093,0,"2,3,6,7",2,"12,15,16,17,18,26,33,34",1,1
abs19471,0,7,2,0,1,1
abs04085,0,6,2,0,0,0
abs10920,1,"5,7",1,0,1,1
abs00862,0,"6,7",2,0,0,0
abs02619,0,"0,3",2,0,0,0
abs15737,0,0,2,0,1,1
abs04459,0,7,2,0,0,0
abs16524,1,"4,6",2,0,1,1
abs04706,0,6,0,0,0,0
abs18584,0,0,2,0,1,1
abs03163,0,7,2,0,0,0
abs12436,1,"4,5,6",2,0,1,1
abs10131,1,"6,7",2,0,0,0
abs15360,0,"0,6",0,0,0,0
abs06639,1,"2,3,6",2,"7,8,9,11,12,13,14,15,16,17,22,25,26,30,31,33,36,39,41",1,1
abs06937,0,"2,7",2,"13,14,15,16,22,27,30,34,35,36,37,39",1,1
abs19181,1,3,2,0,1,1
abs21788,0,"6,7",2,0,1,1
abs10636,1,"1,2,3",2,"3,13,22,27",1,1
abs08282,1,"4,5,6",1,0,1,1
abs01210,0,0,0,0,0,0
abs06022,1,"4,5,6,7",2,0,1,1
abs03040,0,"0,6",0,0,0,0
abs01857,0,"3,6",1,0,1,1
abs05419,1,"4,5,6",2,0,0,0
abs00353,0,6,2,0,0,0
abs13624,0,"6,7",1,0,1,1
abs18986,1,"0,3,5,6,7",1,0,0,0
abs17144,0,"3,7",2,0,1,1
abs06554,1,"2,3,6,7",2,"13,15,16,21,26,27",1,1
abs00693,1,"3,6",2,0,1,1
abs19091,1,"2,3,5,6,7",2,0,1,1
abs06612,1,2,2,0,0,0
abs06919,0,0,2,0,1,1
abs09971,0,2,0,0,0,0
abs07430,0,"3,7",2,0,0,0
abs13832,0,2,1,12,1,1
abs10979,1,"4,5,6",2,0,1,1
abs00112,0,"0,6",0,0,0,0
abs22222,1,2,2,0,1,1
abs18731,1,"6,7",2,0,1,1
abs06504,0,0,0,0,0,0
abs15603,0,"4,7",2,0,0,0
abs14171,0,"6,7",2,0,1,1
abs07514,0,"4,5,6",1,0,0,0
abs09055,0,"6,7",2,0,0,0
abs00849,0,"0,2,7",0,0,0,0
abs11536,1,"4,5,6,7",2,0,0,0
abs04574,0,"5,6",1,"3,13,21,26,35",1,1
abs00047,0,0,2,0,0,0
abs16054,0,"3,5,7",2,0,0,0
abs16684,0,"0,6,7",0,0,0,0
abs18482,0,0,2,"3,27",1,1
abs04005,0,"3,6",2,0,0,0
abs17095,0,"2,6",2,"7,17,22",0,0
abs12203,1,"5,6",2,0,0,0
abs13848,0,0,0,0,0,0
abs19147,1,"6,7",2,0,1,1
abs21519,0,"0,6,7",2,0,0,0
abs12420,0,6,2,0,0,0
abs14813,0,4,1,18,0,0
abs06176,1,"3,5,6,7",1,0,0,0
abs21080,0,"1,2,3,5,6,7",1,"14,21,22",1,1
abs15808,0,"5,6",1,0,0,0
abs19288,1,2,2,"14,22,27,34",0,0
abs21623,1,"1,2,3,7",1,"7,18,27",1,1
abs17977,0,"4,7",2,0,0,0
abs15729,1,"4,5,6",2,0,0,0
abs21672,1,"1,2,3,6",2,"15,22,26,27",1,1
abs16260,1,"4,5,6,7",2,0,0,0
abs07786,0,"6,7",1,0,1,1
abs01728,0,"6,7",2,0,1,1
abs15079,1,"1,2,6",2,"13,14,15,16,21,24,26,27,28,33,36,37",1,1
abs10945,0,"2,3,4,5,6",2,0,1,1
abs13976,0,0,1,0,1,1
abs01952,1,"3,7",2,0,1,1
abs21124,1,"4,7",2,0,1,1
abs05256,0,7,0,0,0,0
abs02511,0,0,2,0,0,0
abs02645,0,0,2,0,0,0
abs12835,1,"5,6",2,0,1,1
abs21163,0,0,2,0,0,0
abs16547,0,"0,7",0,0,0,0
abs05486,1,"2,4,6,7",2,"15,16,26,27,29,30,34,35,36,37,39",0,0
abs17418,0,0,2,0,1,1
abs14958,1,"6,7",2,0,1,1
abs18714,1,"5,7",1,0,1,1
abs07520,1,"4,7",1,0,0,0
abs01461,0,"0,2,7",2,0,0,0
abs19657,1,"6,7",2,0,1,1
abs20968,0,7,2,0,0,0
abs03021,0,"2,3,6",2,0,1,1
abs02465,1,"6,7",2,0,0,0
abs21213,0,"4,5,6,7",2,0,1,1
abs16145,1,"5,7",2,0,0,0
abs09392,0,"0,5,6",2,0,0,0
abs14081,0,2,1,0,1,1
abs19282,1,"2,4,7",1,"16,27,34",1,1
abs04933,0,"0,6",2,0,0,0
abs12797,1,"5,6",2,0,0,0
abs00621,0,"3,7",2,0,0,0
abs20098,0,7,2,0,0,0
abs22250,0,0,0,0,0,0
abs15068,1,"4,5,7",1,0,1,1
abs05169,0,0,0,0,0,0
abs00815,0,6,0,0,0,0
abs10751,1,"5,6",2,0,0,0
abs18966,1,3,2,0,1,1
abs12223,1,7,1,0,0,0
abs21772,1,"2,3,6,7",2,"8,9,22,27",1,1
abs20904,0,"0,6,7",2,0,0,0
abs08507,1,"4,7",2,0,0,0
abs06908,1,"3,6",2,0,0,0
abs01522,0,0,1,0,0,0
abs19422,1,"4,5,6,7",2,0,1,1
abs06814,0,"0,3",2,0,1,1
abs13184,1,"4,5,6",2,0,1,1
abs00668,0,"4,5,6",1,"16,18,26,34",0,0
abs17358,0,0,2,0,1,1
abs07594,0,"4,7",2,0,0,0
abs15036,1,"3,7",1,0,1,1
abs18668,0,"2,6",1,"2,3,4,6,7,8,9,11,12,13,14,15,17,20,21,25,26,28,30,31,33,36,39,42",1,1
abs08628,1,"4,7",2,"3,8,13,14,18,21,22,26,30,36,37,39,40",1,1
abs09566,1,"4,7",2,0,1,1
abs08127,1,"5,6",1,0,1,1
abs05071,0,6,0,0,0,0
abs10866,0,"4,7",2,0,1,1
abs05343,1,"4,5,6",2,0,0,0
abs08818,0,7,2,0,0,0
abs17554,0,"3,7",2,0,1,1
abs14673,1,"5,6",1,0,1,1
abs19621,0,"3,7",2,0,1,1
abs12418,1,"4,7",2,0,0,0
abs09563,1,"2,3,4,5,6",2,"15,18,20,21,26,27,30,34",0,0
abs06581,0,0,2,0,1,1
abs19598,0,"3,7",2,0,0,0
abs04207,0,0,0,0,0,0
abs20141,0,"0,2,7",0,0,0,0
abs00061,0,"4,6",2,0,0,0
abs21885,1,2,1,"14,22,24,26,29,30,34,35,36,37,39,40",1,1
abs10446,0,0,2,0,1,1
abs21539,0,"3,7",1,0,1,1
abs04926,0,"2,7",2,0,1,1
abs04965,1,"3,7",2,0,1,1
abs12641,0,"6,7",2,0,0,0
abs07184,1,"4,5,6,7",1,0,1,1
abs05653,1,6,2,0,0,0
abs06107,0,"4,5,6",1,0,1,1
abs05407,1,4,2,0,0,0
abs00508,0,"1,2,7",2,26,1,1
abs18633,1,"4,5,6,7",2,0,0,0
abs00680,0,"0,7",2,0,1,1
abs11982,0,0,2,0,0,0
abs12918,1,"5,6",2,0,0,0
abs08601,0,"4,5,7",2,0,0,0
abs17701,0,"1,2,3",1,"7,17,26,34",1,1
abs17450,0,"2,7",2,"13,15,16,21,26,27",1,1
abs05030,0,7,2,"8,14,18,21,22,24,26,27,30,36",0,0
abs02025,1,"0,7",2,0,0,0
abs19160,1,"4,5,6",2,0,0,0
abs19321,1,"4,5,6,7",2,0,1,1
abs08587,1,"6,7",2,0,0,0
abs12080,0,4,2,0,0,0
abs10730,0,"2,7",1,"13,14,15,16,22,26,27,28,36,37",1,1
abs14162,0,"2,3,6",1,0,1,1
abs21842,0,7,2,0,0,0
abs03687,0,"3,7",1,0,0,0
abs04599,1,"2,3,7",2,"13,15,16,18,21,26,27",1,1
abs10348,0,7,2,0,0,0
abs06259,1,"5,6",2,0,0,0
abs06205,1,"4,5",2,0,1,1
abs20637,0,2,2,0,1,1
abs09107,0,"4,7",2,0,1,1
abs14853,1,"4,5,7",1,0,1,1
abs01694,1,"2,7",2,0,1,1
abs18104,0,"4,5,6",1,"14,22,27,33,39,40",0,0
abs20549,1,3,2,0,1,1
abs15430,0,6,0,0,0,0
abs13509,1,7,2,0,0,0
abs18491,0,2,2,"13,14,15,16,18,22,26,27,28",1,1
abs07475,1,"4,6,7",2,0,0,0
abs10059,0,"3,5,7",1,0,1,1
abs05626,0,6,2,0,0,0
abs02225,0,"0,5,6",1,0,1,1
abs08927,1,"4,6",2,0,1,1
abs04351,0,"2,3,7",2,"16,26,27",1,1
abs00535,0,7,2,0,0,0
abs07596,0,"4,5",2,0,0,0
abs07957,0,"4,5,6,7",2,0,0,0
abs07176,1,"4,5,6,7",2,0,0,0
abs00241,0,"3,7",2,0,1,1
abs08921,1,"4,5,6,7",1,0,1,1
abs14804,1,"4,5,6",2,0,0,0
abs05331,1,4,2,0,0,0
abs18516,0,"1,3,7",2,0,1,1
abs15107,1,"5,6",1,0,0,0
abs14714,1,"4,7",2,0,0,0
abs09572,1,"4,5,6",1,0,0,0
abs05498,1,"4,5,7",2,0,1,1
abs17189,1,"2,3,6,7",2,"7,17,22,26,30,33",1,1
abs11560,1,"4,5,6,7",2,0,1,1
abs16764,0,6,1,0,0,0
abs05237,0,7,2,0,0,0
abs14718,0,"4,5,6,7",2,0,0,0
abs19304,1,"5,6",2,0,1,1
abs21258,0,"6,7",2,0,0,0
abs07441,1,"5,7",1,0,0,0
abs08141,0,6,0,2,0,0
abs03278,1,"3,5,6,7",2,0,0,0
abs10129,0,0,2,0,0,0
abs19100,1,"5,6,7",2,0,0,0
abs20311,0,7,2,0,0,0
abs12777,0,"4,5,6",2,0,0,0
abs19641,0,"3,7",2,0,0,0
abs11434,1,"4,5,6,7",2,0,0,0
abs08044,0,"4,6",2,0,0,0
abs08570,1,"3,7",2,0,1,1
abs09567,0,"0,6",2,0,0,0
abs20999,1,"4,5,6,7",2,0,0,0
abs20444,0,"2,3,4",2,0,0,0
abs16962,0,6,0,0,0,0
abs08064,1,"4,5,6,7",2,0,0,0
abs07368,1,"3,7",1,0,1,1
abs15429,1,"4,5,6",2,0,0,0
abs18901,1,"2,7",1,"15,20,26,27,33",1,1
abs15675,0,"4,7",2,0,1,1
abs01801,0,"2,3,6",2,"13,15,16,17,18,20,21,26,27,30,33,34",1,1
abs01993,0,4,2,0,0,0
abs21995,1,"2,3,6",2,0,1,1
abs08338,0,"3,7",1,0,1,1
abs11528,1,"4,5,6,7",2,0,1,1
abs11702,1,"5,6,7",1,0,0,0
abs07445,1,"4,5,6,7",2,0,1,1
abs03875,0,"6,7",2,0,1,1
abs18125,0,7,2,0,1,1
abs15788,1,"4,6,7",2,0,0,0
abs09317,0,6,2,0,0,0
abs05598,0,6,1,0,0,0
abs21817,1,2,2,"15,20,22,27,33,35,36",1,1
abs04652,0,"4,7",2,0,0,0
abs15563,0,0,0,0,0,0
abs12193,1,"5,7",2,0,1,1
abs16719,1,"6,7",1,0,1,1
abs14865,0,6,2,0,1,1
abs06967,0,"2,3,6",2,"3,24,26",1,1
abs00351,0,"2,3,6,7",2,"15,20,26,27",1,1
abs09650,1,"6,7",2,0,0,0
abs12144,1,"4,5,6",2,0,0,0
abs09832,1,"4,5,6,7",2,0,0,0
abs19069,0,"3,6",2,0,1,1
abs09529,1,"4,5,6,7",2,0,0,0
abs06128,0,"5,6",2,0,0,0
abs09458,0,"4,5,6",2,0,0,0
abs06925,1,"1,2,7",2,"7,8,9,11,17,22,27,36,37",0,0
abs20972,0,6,1,0,1,1
abs07576,1,"4,6,7",2,0,1,1
abs02478,1,"3,6",2,0,1,1
abs09631,1,"4,5,6",1,0,1,1
abs11153,1,"1,4,5,6",2,"12,14,15,16,22,27,30,34,35,36,39,40",0,0
abs20137,1,"3,7",2,0,1,1
abs15333,0,"6,7",2,0,0,0
abs10505,0,2,2,0,0,0
abs11235,0,"0,4,5,6",0,0,0,0
abs06583,0,"2,3,6,7",2,"13,14,15,16,17,22,26,33,34",1,1
abs06553,1,2,2,0,1,1
abs00757,0,"0,7",2,0,0,0
abs15983,0,"4,5,6",2,0,0,0
abs10803,0,"0,5",2,0,0,0
abs07442,1,"4,5,6,7",2,0,0,0
abs17448,0,"0,3",2,0,0,0
abs12079,0,"3,7",1,0,0,0
abs09039,0,"0,3",2,0,0,0
abs13218,1,"4,5,6",2,0,0,0
abs14680,0,0,1,0,0,0
abs12575,1,4,1,0,1,1
abs09102,1,"2,3,5,6,7",2,"8,18,21,26",1,1
abs02914,0,"0,6,7",2,0,1,1
abs06102,1,"4,5,6,7",2,0,0,0
abs15764,0,6,2,0,0,0
abs16449,0,7,2,0,0,0
abs11845,0,0,2,0,0,0
abs04859,1,"2,3,7",2,"14,18,22,27,33,34",1,1
abs01939,0,"0,2,6",0,0,0,0
abs02928,0,3,0,0,0,0
abs18279,1,"1,3,7",2,"3,13,22,33",1,1
abs03164,0,"6,7",2,"0,14,18,26,27",0,0
abs15596,0,"4,6",2,0,1,1
abs21543,0,6,2,0,1,1
abs09006,1,"6,7",2,0,0,0
abs22011,1,"1,2,3,6",2,"13,15,16,21,26,27,30,34",1,1
abs08343,0,"2,3,4,6",2,"8,14,22,26,27,30,33,34",1,1
abs01365,0,0,2,0,0,0
abs02424,1,"5,6,7",2,0,1,1
abs21611,1,"1,2,3,4,5,6",2,"15,22,34",1,1
abs06823,0,"3,6",2,0,1,1
abs16134,0,6,2,0,0,0
abs10887,0,"6,7",2,0,0,0
abs18562,1,"2,7",2,0,0,0
abs18628,1,"6,7",2,0,1,1
abs07754,1,"4,5,6,7",2,0,0,0
abs01400,0,"1,2,6,7",1,"14,19,22,24,27,34",1,1
abs19965,0,"0,6",2,0,0,0
abs04751,0,"6,7",2,0,0,0
abs15083,1,"3,7",2,0,1,1
abs03502,0,2,2,"13,14,15,16,18,20,22,25,26,27,28,30,31,36,37,39,40",1,1
abs03361,0,0,1,0,0,0
abs00124,1,"4,5,6,7",2,0,0,0
abs02317,0,7,2,0,0,0
abs12642,0,"0,5,6,7",1,0,0,0
abs11593,1,"4,6",1,0,0,0
abs11707,1,"4,6,7",2,0,1,1
abs10191,1,"4,5,6,7",1,0,0,0
abs15556,0,"4,5,6",2,0,0,0
abs01030,0,6,0,0,0,0
abs03894,0,"6,7",1,0,1,1
abs17403,0,"0,6",0,0,1,1
abs13715,1,2,2,"3,13,21,22",1,1
abs13109,1,"5,6",2,0,1,1
abs09035,0,"0,6",0,0,0,0
abs07696,1,"4,6,7",2,0,0,0
abs03724,1,"6,7",2,0,0,0
abs21004,1,"6,7",2,0,0,0
abs05208,0,6,2,0,0,0
abs14994,1,"4,5,6,7",2,0,0,0
abs20113,0,"2,3,7",2,0,1,1
abs03287,0,"0,6",2,0,1,1
abs07171,1,"4,5,6",2,0,1,1
abs18893,1,"4,7",2,0,1,1
abs04277,1,"2,3,6",2,"16,22,27,34",1,1
abs08535,1,"4,7",1,0,0,0
abs15522,0,"5,7",2,0,0,0
abs09054,0,"0,5,7",2,0,0,0
abs18359,0,0,2,"3,13,22,33",1,1
abs00403,0,7,2,0,0,0
abs07003,0,0,2,0,1,1
abs15366,1,"5,7",2,0,0,0
abs14945,1,"6,7",2,0,0,0
abs15766,1,4,2,0,0,0
abs07131,1,"4,5,6,7",2,0,0,0
abs21935,1,"2,7",2,0,1,1
abs12462,1,"4,5,6,7",2,0,0,0
abs06905,0,"6,7",2,0,1,1
abs02582,0,0,1,"3,7,14,18,22,26,27",1,1
abs14358,0,0,0,0,0,0
abs16063,0,"5,6",0,0,0,0
abs11050,0,"5,7",2,0,0,0
abs03573,0,"0,2,7",0,0,0,0
abs08432,1,"4,7",2,0,1,1
abs17216,1,"1,2,3,6,7",2,"7,17,20,22,26,30",1,1
abs10183,1,"1,2,3,7",2,"7,17,22,26,30,39",1,1
abs17271,0,2,2,"11,17,22,27,30,36,37",0,0
abs08100,1,"3,6",1,0,0,0
abs18945,0,"5,7",1,0,0,0
abs21266,1,"4,5",2,0,1,1
abs01916,0,"3,7",2,0,1,1
abs11457,1,"4,6,7",2,0,1,1
abs02076,1,"2,3,6",1,"15,18,20",1,1
abs09328,1,"2,3,6,7",2,11,1,1
abs14153,1,"0,3",2,0,1,1
abs04490,0,"0,5,6",2,0,0,0
abs07593,1,"4,5,7",2,0,1,1
abs03181,0,"3,7",2,0,1,1
abs09378,0,"0,5",2,0,0,0
abs00928,0,0,2,0,0,0
abs07327,1,"4,5,6",2,0,0,0
abs00632,0,"0,5",2,0,0,0
abs15508,0,6,2,0,0,0
abs03106,0,"2,3,4,7",2,"0,15,16,22,27,36,37,39",1,1
abs20185,0,"6,7",2,0,0,0
abs00399,0,6,2,0,1,1
abs10170,0,0,2,0,1,1
abs06415,1,"4,6,7",2,0,0,0
abs01547,1,"1,2,7",2,11,1,1
abs13343,1,"4,7",1,0,0,0
abs12959,0,"0,5,6",2,0,0,0
abs21971,0,"6,7",0,0,0,0
abs00115,0,6,2,0,0,0
abs07109,1,"4,5,6,7",2,0,1,1
abs12705,1,"4,5,6,7",2,0,0,0
abs14318,0,0,0,0,0,0
abs02682,1,"3,7",2,"13,14,15,20,21,26,35,39,40",0,0
abs16621,1,"4,5,6",2,0,1,1
abs12110,1,"4,6",2,"3,6,8,9,13,14,15,16,18,22,26,30,33,34",0,0
abs09989,1,"1,2,3,7",2,"7,14,17,22,26,27,30,34",1,1
abs08240,1,"4,6",2,0,1,1
abs16456,0,"4,5,6,7",1,0,0,0
abs13450,0,"3,7",1,0,1,1
abs05894,1,"4,5,6,7",2,0,0,0
abs08540,0,"0,5,6",2,0,0,0
abs12316,1,"3,5,6",2,0,1,1
abs19590,0,7,0,0,0,0
abs07729,1,"5,6",1,0,0,0
abs14910,1,7,2,0,1,1
abs03339,1,"2,7",2,"14,22,26,34",0,0
abs12346,0,"4,5,6,7",2,0,0,0
abs01758,0,"2,3,5,6",2,33,1,1
abs01848,1,"5,6",2,0,0,0
abs14844,1,"4,5,6",1,0,1,1
abs01875,1,"3,5,6,7",2,0,1,1
abs08935,1,"4,7",2,"15,20,22,27",1,1
abs10711,1,"1,3,6,7",2,"3,13,22,33",1,1
abs00614,0,"2,3",2,0,1,1
abs04468,0,"4,5",2,0,0,0
abs20663,1,"3,6",2,0,1,1
abs17987,1,"4,5,6,7",2,0,1,1
abs05160,0,"4,5,6,7",1,0,0,0
abs17872,1,"4,7",2,0,0,0
abs05193,0,"0,6,7",2,0,0,0
abs14156,1,"6,7",2,0,1,1
abs16595,1,"4,5,6",2,0,0,0
abs01576,1,3,2,0,1,1
abs15296,1,"4,5,6",2,0,0,0
abs07156,1,"6,7",2,0,0,0
abs14266,1,"2,3,6",1,"3,14,22",1,1
abs20993,1,"4,6,7",2,0,1,1
abs08816,1,"4,5,6",2,0,1,1
abs11285,1,"4,5,6",2,0,0,0
abs07488,1,"6,7",2,0,0,0
abs14981,0,"4,5,6",0,0,0,0
abs01643,0,"6,7",2,0,0,0
abs10781,1,"4,5,6,7",2,"14,22,26,27,33,37,39,40",1,1
abs21840,1,"2,5,6,7",2,0,1,1
abs10334,1,3,2,0,0,0
abs11901,1,"5,6",1,0,0,0
abs08385,1,"4,7",2,0,0,0
abs07020,1,2,2,"3,13,22,27",1,1
abs09717,1,"6,7",2,0,0,0
abs04654,1,"3,6",1,0,1,1
abs08814,1,6,2,0,0,0
abs02026,0,"0,6,7",2,0,0,0
abs14167,0,0,0,0,0,0
abs17949,1,0,2,0,0,0
abs01513,1,"1,2,3,6,7",2,"5,15,22,27,37",1,1
abs21525,0,"3,7",2,0,1,1
abs06144,1,"6,7",2,0,0,0
abs12551,1,6,2,0,0,0
abs05968,1,"4,5,6,7",2,0,0,0
abs20176,1,"4,7",2,"14,19,22,26,27,30,33,34",1,1
abs03956,0,2,2,0,0,0
abs08897,0,4,0,0,0,0
abs07959,1,"4,5,6,7",2,0,0,0
abs04465,1,"0,6",2,0,0,0
abs08606,0,"5,6",1,0,0,0
abs17394,0,0,2,0,0,0
abs04981,0,"2,3,6",2,0,1,1
abs14228,0,0,2,0,0,0
abs00406,0,"3,7",2,0,0,0
abs18158,0,"6,7",2,"13,14,17,18,20,21,24,26,27,28,33,36,37,39,40",1,1
abs20920,0,3,1,0,1,1
abs10578,0,2,2,0,1,1
abs02731,0,"0,6,7",2,0,0,0
abs04506,0,"4,5,7",2,0,1,1
abs09875,0,"2,3,4",2,"17,22,26,27,33,34",0,0
abs03013,0,2,2,"8,17,22,27,36",1,1
abs17031,0,"6,7",2,0,0,0
abs20792,1,"4,5,7",2,"15,22,27,31,36",0,0
abs19953,1,"3,6,7",2,0,0,0
abs06866,1,"6,7",2,0,0,0
abs12390,1,"6,7",2,0,0,0
abs13613,1,"4,5,6",2,0,0,0
abs00712,1,7,2,"14,20,22,27,33,35,37",0,0
abs15470,1,"3,6,7",2,0,1,1
abs00131,0,"6,7",2,0,1,1
abs19568,0,"6,7",2,0,0,0
abs08200,0,"0,6,7",0,0,0,0
abs00885,0,"6,7",2,0,1,1
abs17781,0,"1,3,6",2,0,1,1
abs14170,0,"6,7",2,0,0,0
abs21421,1,"4,5",2,0,0,0
abs13676,0,2,2,0,1,1
abs08918,1,"4,6",2,0,0,0
abs03187,0,"4,5,6",2,"17,18,19,20,21,22,24,26,27,30,33,34",0,0
abs07548,1,"4,5,7",2,0,0,0
abs20830,0,"3,6",2,0,0,0
abs17162,0,2,2,33,1,1
abs08724,1,"4,5,6,7",2,0,0,0
abs12401,0,6,2,0,0,0
abs09775,1,"4,5,6,7",2,0,0,0
abs13449,0,7,2,0,0,0
abs08167,1,"4,5,6,7",2,23,0,0
abs05758,1,"4,5,6,7",2,0,1,1
abs03605,0,"0,5",0,0,0,0
abs00098,0,7,2,0,0,0
abs07575,1,"5,6,7",2,0,1,1
abs11898,1,"4,5,7",1,0,0,0
abs07090,0,"6,7",2,0,0,0
abs01386,1,"3,5,7",1,0,0,0
abs09815,1,"6,7",2,0,0,0
abs00065,1,"1,2,3,7",2,"7,17,20,22,26,27,33",1,1
abs11254,1,"5,6",2,0,0,0
abs12772,1,"4,5,7",2,0,0,0
abs13206,1,"4,6,7",2,0,0,0
abs06417,0,0,0,0,0,0
abs03082,1,"1,2,3,6",2,"12,14,22,26,40",1,1
abs20293,0,3,1,0,1,1
abs08332,1,"4,5",2,0,0,0
abs12441,0,"2,3,5,6",1,"13,14,18,20,21,26,27,30,34,35,36,39,40",1,1
abs15786,0,"0,6",0,0,0,0
abs09393,1,"4,5,7",2,0,1,1
abs02553,1,"2,3,4,5",2,"15,17,22,27,36",1,1
abs11600,0,"4,5,6",2,"15,20",0,0
abs19066,0,"0,6,7",0,0,1,1
abs19312,1,"4,5,6,7",2,0,0,0
abs19254,0,"4,7",2,0,1,1
abs08287,0,"6,7",2,0,0,0
abs15291,1,"4,7",2,0,0,0
abs16021,1,"4,5,6",1,0,0,0
abs08453,1,"4,7",2,0,1,1
abs04620,0,"3,7",2,0,0,0
abs20371,1,"2,3,6,7",2,"15,22,27,33,37",1,1
abs04964,0,"0,6",0,0,0,0
abs12446,0,6,2,0,0,0
abs07563,1,"4,5,6",2,0,0,0
abs15950,1,"4,7",1,0,0,0
abs09660,1,"4,5",2,0,1,1
abs08050,0,"0,2,7",2,0,0,0
abs15028,0,0,2,0,0,0
abs18171,0,"2,3,4,5,7",2,"13,14,19,20,22,27,33,34",1,1
abs12383,1,"6,7",2,0,0,0
abs12424,1,4,2,0,0,0
abs18112,0,"4,5,6",2,0,0,0
abs18447,0,"3,7",2,0,1,1
abs11671,0,"0,6",0,0,0,0
abs02589,0,"5,6",1,0,1,1
abs19375,1,"1,3,5,6,7",2,0,1,1
abs09742,1,"4,5,6,7",1,0,1,1
abs04569,0,"5,7",2,"13,14,17,20,22,26,33,34",0,0
